RFS,RTO
,62
139,199
276,336
414,474
554,616
692,754
832,891
968,1029
1108,1169
1247,1305
1381,1439
1517,1578
1654,1714
1793,1849
1928,1989
2067,2125
2203,2262
2340,2399
2475,2534
2613,2671
2751,2808
2890,2946
3023,3082
3159,3218
3297,3356
3436,3495
3571,3632
3708,3767
3843,3901
3979,4038
4114,4173
4250,4310
4386,4444
4521,4580
4658,4717
4795,4853
4929,4990
5066,5123
5202,5263
5340,5395
5474,5531
5608,5666
5744,5799
5882,5938
6015,6072
6152,6208
6288,6347
6424,6483
6561,6621
6696,6751
6832,6890
6968,7026
7105,7163
7240,7298
7376,7433
7511,7571
7648,7707
7786,7847
7921,7978
8056,8114
8194,8252
8331,8390
8466,8526
8602,8660
8738,8797
8877,8935
9013,9071
9149,9205
9285,9344
9422,9481
9558,9621
9697,9755
9832,9891
9968,10028
10107,10167
10244,10302
10379,10438
10515,10571
10652,10712
10788,10848
10925,10987
11064,11124
11203,11263
11339,11399
11475,11535
11612,11670
